Timestamp	Black closed infinity, rainbow background	Black open infinity, rainbow background	The Autistic Rights Flag (green-red-purple, yellow infinity)	Gold infinity, white background (variable width)	Gold infinity, white background (fixed width)	Aufinity symbol, white background	Autism Spectrum Nautilus, white background	Rainbow infinity made of dots, white background	ROYLG striped infinity, white background	Autistic Pride Day (Australia), gradient concentric infinities	Concentric ROYLG, white background	Concentric disability pride, white background	Concentric ROYLG, grey background	Gold infinity, disability pride background	Autism spectrum nautilus, disability pride stripe background	Autistic Pun Flag	Teal aesthetic, diagonal stripes	Red infinity, teal aesthetic, diagonal stripes	Red infinity, teal background	Red infinity, red and white background	Red infinity, white and gold background	Red infinity, ROYLG background	Rainbow infinity, ROYLG background	Rainbow infinity, diagonal ROYLG background	Nautilus, diagonal ROYLG background	Aufinity, white circle, ROYLG background	Aufinity, Teal background	The Autistic Pride London Flag (purple-green, gold starburst, rainbow infinity)	Rainbow gradient infinity loop, gold background	Rainbow segmented infinity loop, gold background	Rainbow segmented infinity loop with white dividers, gold background	Rainbow infinity, diagonal rainbow stripe background	Vertical rainbow background (without blue)	Gold infinity, vertical rainbow background (no blue)	Gold infinity, vertical rainbow background (no blue, has browns)	Yellow infinity on red-green-blue background	Gold infinity, soft pastel background	The Mint Flag	Off-kilter rainbow infinity, red black and teal background	Rainbow dragon, black background	The Wreath Flag (red-gold-blue with white circle)	Gold infinity, disability grey background	Autism spectrum nautilus, disability grey background	Rainbow infinity, Teal background	Rainbow infinity, white circle, ROYLG background	Gold infinity on white with horizontal red bars	Black infinity on red, yellow, and green	Nine horizontal stripes design (red to white to green)	Black infinity on red, yellow, and green; seven stripes	Red infinity on white circle with teal aesthetic	Red open infinity with teal aesthetic	Simplified nautilus (7 segments) on grey	Diagonal ROYLG stripes	8-segment nautilus on grey	Yellow sun on red and purple	Stained glass theme with black lines	Purple face on gold, with solid gold infinity	Autistic Liberation Flag	7-segment nautilus on disability pride stripes	Black open infinity on diagonal rainbow stripes	Diagonal ROYLG stripes	Red open infinity on white circle with teal aesthetic	Rainbow infinity, ROYLG background
7/6/2025 19:12:33	3	3	4	4	4	3	4	4	3	3	3	3	4	4	2	3	2	2	2	2	2	3	3	4	3	2	2	2	3	3	4	2	2	2	2	2	2	3	1	3	2	3	4	2	2																		
7/6/2025 19:16:04	2	2	2	3	3	3	4	1	2	1	1	2	2	2	4	5	2	2	3	2	2	3	3	3	4	2	2	5	4	3	4	5	4	2	3	2	3	2	2	5	4	3	4	2	2																		
7/6/2025 19:45:11	4	5	3	3	3	1	4	1	5	2	2	5	3	4	5	3	3	2	1	3	2	3	4	3	4	1	1	1	3	2	3	1	2	1	1	1	2	1	4	1	3	3	5	2	4																		
7/6/2025 19:54:10	4	4	2	1	2	2	3	2	3	3	3	4	3	5	3	3	5	2	4	4	2	4	3	2	2	2	2	1	3	2	2	1	4	2	2	2	2	2	3	1	1	4	3	4	4																		
7/6/2025 20:17:31	3	4	4	1	2	1	3	1	2	3	4	4	3	4	5	3	3	5	3	1	2	2	3	4	4	3	2	1	1	1	1	1	1	2	2	3	3	2	2	2	2	4	3	3	3																		
7/6/2025 20:18:21	3	1	4	4	4	4	4	3	1	4	1	4	1	3	4	4	2	1	2	3	4	2	2	2	4	2	2	1	3	2	1	1	3	4	3	1	2	1	2	3	4	4	4	2	2																		
7/6/2025 20:35:56	3	4	2	1	2	1	2	2	3	2	2	5	4	1	3	2	3	1	1	1	1	1	1	2	3	2	2	1	2	1	2	1	1	2	2	1	1	1	1	1	2	3	2	4	2																		
7/6/2025 22:23:40	4	4	3	1	1	5	2	2	4	1	2	3	2	2	4	2	4	4	3	3	3	2	4	2	4	3	3	4	2	2	2	2	2	3	2	2	4	3	3	4	1	2	3	3	2																		
7/6/2025 22:26:36	5	4	3	2	2	1	2	1	3	3	2	3	2	4	4	4	3	4	3	5	2	5	3	3	2	2	1	2	4	3	3	2	2	2	2	2	4	5	4	5	5	1	2	4	4																		
7/6/2025 22:27:41	1	1	4	3	3	4	4	3	1	1	1	2	1	4	1	4	2	1	1	3	1	1	2	1	2	4	1	1	1	2	1	1	1	4	1	3	4	4	1	5	4	4	3	4	1																		
7/6/2025 22:29:35	1	3	1	2	2	1	4	1	3	3	4	4	4	4	4	3	3	1	1	1	1	3	3	3	5	1	1	1	3	4	3	1	2	1	2	1	2	1	2	1	3	3	4	1	2																		
7/6/2025 22:34:37	3	2	3	2	2	1	2	1	3	4	4	3	5	2	2	3	2	3	2	3	2	2	4	3	2	2	2	1	3	4	4	2	1	2	2	1	3	2	2	3	1	1	2	4	4																		
7/6/2025 22:34:44	3	5	3	1	1	1	1	1	1	1	4	5	4	1	3	1	1	3	4	1	3	3	1	1	1	1	1	1	1	1	1	1	4	3	4	4	1	3	3	1	5	3	1	4	1																		
7/6/2025 22:36:22	3	4	3	1	1	2	2	1	2	2	2	2	2	2	4	5	2	2	2	2	1	2	1	1	2	1	1	1	1	3	1	1	1	1	2	1	2	2	1	4	2	1	3	2	3																		
7/6/2025 22:38:02	5	4	5	2	2	1	3	1	3	3	2	3	5	3	4	4	2	3	3	2	2	4	4	4	4	1	1	2	4	4	4	3	4	4	4	2	2	3	1	2	3	2	2	3	4																		
7/6/2025 22:41:17	5	3	1	2	4	3	4	3	3	3	4	5	4	3	5	2	4	3	4	3	2	5	5	3	4	3	3	1	3	2	3	2	4	2	2	1	3	3	1	3	2	2	5	4	5																		
7/6/2025 22:51:36	3	2	2	1	1	4	2	1	2	3	1	5	3	4	5	4	3	1	1	2	1	2	4	1	2	1	2	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	5	3	1																		
7/6/2025 22:52:28	2	2	3	1	3	3	3	1	2	5	1	4	1	3	4	5	4	1	2	1	1	2	1	3	1	3	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	4	3	2																		
7/6/2025 22:53:12	5	5	1	1	1	1	5	3	1	1	1	4	1	5	5	5	1	2	4	5	1	1	1	1	5	1	3	1	2	1	1	1	1	2	1	1	1	1	1	5	1	3	5	3	1																		
7/6/2025 23:02:43	4	3	2	4	3	1	1	2	1	1	1	1	2	3	2	2	3	2	5	3	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1	2	1	1	2	1	4	2																		
7/6/2025 23:11:22	5	3	3	5	5	2	5	4	5	1	1	1	1	3	5	5	5	5	2	4	1	2	4	2	1	1	2	2	1	1	3	1	2	2	1	1	3	4	1	2	2	4	2	3	2																		
7/6/2025 23:19:22	3	2	1	1	2	1	1	1	2	3	3	4	4	1	1	3	3	1	1	2	1	4	4	3	1	1	1	1	4	5	5	1	1	1	1	1	2	1	1	1	2	1	1	2	4																		
7/6/2025 23:19:59	4	3	3	3	1	1	1	1	1	1	3	1	4	5	1	5	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	3	5	1	1	1																		
7/6/2025 23:42:28	4	1	1	1	1	1	3	1	1	1	1	1		1	3	1	4	1	3	2	1	1	1	2	1	2	1	1	1	1		1	1	1	1	2	3	1	1	1	3	1	1	1	3																		
7/6/2025 23:43:26	5	5	3	3	2	2	2	2	3	2	4	4	3	3	3	2	3	5	5	3	1	3	3	2	2	3	1	1	2	2	2	2	3	3	3	2	3	3	3	3	3	3	2	5	4																		
7/6/2025 23:44:27	5	5	2	1	2	1	4	1	4	3	3	3	5	4	4	1	2	2	2	4	1	2	4	4	4	1	1	1	1	2	3	1	1	2	1	1	2	2	2	1	2	2	3	3	4																		
7/6/2025 23:47:58	1	1	1	1	1	1	3	1	1	1	1	3	5	3	1	1	1	1	1	1	1	3	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1																		
7/7/2025 0:40:18	3	3	4	3	3	2	3	1	2	2	2	3	1	4	4	5	2	2	3	3	2	4	2	4	5	3	2	2	3	3	2	1	2	3	2	2	3	2	1	1	1	3	4	1	2																		
7/7/2025 0:44:04	3	3	3			2					4		5	2	5			2	1	2	2	4	5	4	5	2	3		4			1				1	1		2				4		5																		
7/7/2025 0:50:50	2	3	2	1	2	2	4	2	2	3	3	4	3	1	4	1	3	1	1	2	1	2	2	3	3	1	1	1	3	3	3	2	2	2	2	1	2	1	3	4	1	1	5	1	4																		
7/7/2025 1:16:01	3	4	1	1	3	1	5	1	4	4	3	3	1	1	5	1	3	1	2	1	1	2	3	1	2	2	1	1	2	2	2	1	1	1	1	1	1	1	2	1	3	2	4	1	4																		
7/7/2025 1:26:56	4	4	1	1	1	1	2	1	1	2	3	2	3	2	3	1	2	2	5	3	2	2	4	4	3	3	3	1	4	3	3	2	1	1	2	2	4	3	2	1	2	2	2	4	4																		
7/7/2025 2:23:38	4	4	4	2	1	2	2	2	2	2	3	4	3	3	4	4	4	2	2	4	2	1	2	4	2	3	3	1	3	4		1	1	1	1	2	2	3	3	3		1	4	3	3																		
7/7/2025 2:58:44				5				5																																																							
7/7/2025 3:16:23	4	3	1	1	1	1	3	2	1	1	1	3	1	1	4	1	1	1	2	1	1	2	1	3	3	1	1	1	3	2	3	3	1	2	2	1	2	1	1	4	1	1	3	3	2																		
7/7/2025 4:15:39	5	5	3	3	3	1	2	3	5	5	5	5	5	3	2	3	1	5	3	4	3	5	5	5	2	1	1	3	5	5	5	4	1	4	5	3	4	5	5	1	4	3	2	5	5																		
7/7/2025 4:43:39	5	5	4	1	1	1	1	1	3	1	1	4	2	4	1	1	2	1	1	1	1	1	1	3	1	1	2	1	1	1	1	1	1	1	1	2	3	1	1	1	1	2	2	1	1																		
7/7/2025 5:24:52	5	5	4	2	3	2	3	2	3	3	3	2	2	1	2	1	2	1	3	3	1	4	2	2	2	3	3	2	4	2	2	1	3	2	1	2	2	2	1	3	1	2	3	3	4																		
7/7/2025 5:36:09	2	2	1	1	1	1	1	2	1	1	2	1	1	1	5	5	1	2	3	1	1	2	2	4	4	1	2	2	4	1	3	1	1	1	2	1	1	1	1	2	2	3	4	4	2																		
7/7/2025 5:43:18	4	4	3	1	1	1	4	3	3	1	1	2	2	4	4	3	4	2	3	1	1	3	2	2	4	2	2	1	2	2	2	1	4	2	2	1	3	4	1	1	1	1	5	4	2																		
7/7/2025 6:38:18	3	3	1	2	4	4	4	2	4	4	5	4	5	2	2	2	3	2	2	2	2	2	2	1	2	2	1	2	3	2	1	1	1	2	1	1	2	1	1	1	2	3	4	2	2																		
7/7/2025 8:14:28	2	1	1	2	4	1	4	3	3	3	3	1	2	2	4	5	3	2	2	1	1	2	1	1	4	1	1	2	2	1	2	2	3	4	4	1	1	3	2	4	2	2	4	1	1																		
7/7/2025 8:37:16	4	4	3	2	3	1	5	2	3	3	3	4	4	3	3	5	4	3	3	2	2	2	2	3	5	1	1	2	4	3	4	1	1	2	3	3	3	3	3	4	5	2	5	4	4																		
7/7/2025 8:54:41	5	5	4	1	1	1	1	1	3	1	4	3	3	1	3	1	3	4	3	2	1	4	2	2	2	1	1	1	2	1	2	1	1	1	1	1	3	4	2	1	1	1	2	3	2																		
7/7/2025 9:51:12	4	4	4	3	4	3	3	2	3	2	4	2	4	3	4	4	1	2	3	2	3	3	2	2	2	3	3	3	2	2	3	3	3	3	3	1	2	2	1	1	3	4	3	3	2																		
7/7/2025 10:33:35	2	4	3	2	2	4	2	2	1	2	2	2	2	4	3	4	2	2	2	2	1	2	2	2	2	4	2	2	4	2	2	2	2	2	2	2	2	2	2	2	1	2	2	3	2																		
7/7/2025 11:58:13	2	1	1	3	3	3	1	2	1	1	1	1	1	3	1	3	3	1	3	2	3	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	2	5	3	1	1	1																		
7/7/2025 12:06:41	4	4	4	2	2	3	4	3	3	3	3	5	2	2	3	2	3	2	3	2	2	4	3	3	3	3	3	2	2	2	2	2	2	2	3	1	3	3	3	3	3	4	5	4	4																		
7/7/2025 12:37:06	4	3	3	5	5	3	1	3	5	3	2	2	3	3	1	1	1	2	2	1	2	2	2	1	1	1	1	1	1	1	3	1	1	1	1	2	1	2	1	1	1	2	1	1	3																		
7/7/2025 12:46:25	4	5	1	1	1	1	2	1	3	2	2	3	3	4	3	3	5	3	5	1	2	3	1	2	3	2	3	1	1	2	2	1	1	1	2	2	4	4	2	1	5	1	2	2	2																		
7/7/2025 13:11:33	4	4	3	3	3	2	3	3	3	3	3	2	3	3	3	3	3	5	5	4	2	3	3	3	3	2	3	1	3	4	4	1	1	1	1	2	3	2	2	2	3	3	3	5	5																		
7/7/2025 13:17:04	3	4	5	1	1	1	3	1	1	1	1	1	1	5	2	2	1	1	1	5	1	3	2	2	3	1	1	1	2	3	3	1	1	1	1	1	3	2	2	1	5	2	3	1	3																		
7/7/2025 13:26:22																																									5																						
7/7/2025 13:38:07	2	2	2	5	5	2	4	1	3	4	4	1	4	5	4	5	4	3	2	1	3	2	2	5	4	1	2	2	5	5	5	1	1	3	3	3	3	1	1	1	1	5	4	1	5																		
7/7/2025 14:37:00	3	3	3	2	4	2	1	1	2	2	2	2	2	3	2	4	2	2	3	2	1	2	2	2	1	1	1	3	3	4	3	1	2	1	1	2	3	1	1	3	3	2	1	3	3																		
7/7/2025 16:30:19	3	4	2	1	2	1	3	2	3	1	1	4	1	2	3	1	2	1	2	1	1	1	1	2	1	1	1	1	1	4	2	1	1	1	1	1	1	1	2	1	2	1	2	3	3																		
7/15/2025 14:42:28	1	3				4																							1	1	1	1	2	1	1				1																								
7/7/2025 19:25:57	2	2	3	3	4	1	1	3	3	4	3	4	4	2	2	3	1	2	1	1	1	3	3	3	1	1	1	2	5	3	3	1	1	1	1	2	1	1	3	2	1	4	1	1	2																		
7/7/2025 20:03:12	4	4	2	2	4	2	2	1	4	1	2	2	2	3	2	4	3	3	4	4	2	4	4	4	2	3	2	1	4	2	2	3	3	4	3	2	3	2	3	3	2	3	2	3	5																		
7/7/2025 21:18:51	3	3	4	4	4	4	4	1	4	4	5	4	4	4	4	3	2	2	1	4	4	5	5	5	4	4	2	2	5	4	4	2	2	4	4	2	2	2	3	3	2	4	4	2	5																		
7/7/2025 21:21:17	5	5	1	1	1	1	4	1	1	1	3	2	3	1	3	1	1	1	3	4	1	1	3	1	5	1	1	1	3	2	2	1	1	1	1	1	1	1	1	5	1	1	5	1	2																		
7/7/2025 21:28:51	3	3	2	2	3	2	3	1	1	3	3	3	3	3	3	3	2	1	1	1	2	4	3	3	3	2	1	1	3	2	2	1	2	2	2	1	3	2	2	1	2	1	4	2	4																		
7/7/2025 23:54:52	5	3	2	3	3	2	2	2	2	3	3	3	3	4	3	2	4	3	5	3	2	2	2	2	2	3	2	2	2	4	3	1	2	2	2	2	1	3	4	3	2	4	3	3	2																		
7/8/2025 0:23:55	2	2				4		4	5												1	4	3					2												3	3				3																		
7/8/2025 0:36:54	4	5	1	2	3	2	2	2	2	5	4	2	3	4	2	5	2	1	2	2	1	4	3	4	1	1	1	1	3	2	4	1	2	1	3	1	5	1	1	1	1	2	4	1	3																		
7/8/2025 10:55:43	5	5	2	1	1	1	4	3	3	2	1	5	1	2	1	3	2	3	3	2	1	2	2	3	3	2	2	1	2	2	1	1	1	3	2	1	1	4	2	5	1	1	3	3	4																		
7/8/2025 10:56:06	4	5	3	1	1	4	5	4	2	4	4	5	3	2	5	5	4	1	3	2	1	2	2		2	2	3	2	2	2	2	1	2	2	2	2	1	4	2	3	4	1	5	3	2																		
7/8/2025 12:54:20	2	2	1	1	1	1	4	1	2	2	4	3	3	3	4	1	1	1	1	1	1	4	1	2	5	1	1	1	2	2	2	1	1	1	1	1	1	1	1	1	2	2	4	1	1																		
7/8/2025 14:21:11	3	3	3	2	2	3	2	2	2	2	1	2	1	3	2	2	3	3	1	2	1	3	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	4	2	2	2	1																		
7/8/2025 15:16:45	2	4	4	2	4	4	4	3	2	4	3	4	3	2	3	3	2	2	2	4	2	4	3	4	4	4	3	3	5	4	4	2	3	2	2	4	2	2	3	3	4	2	4	2	2																		
7/8/2025 17:24:33	4	5	2	5	5	2	2	3	3	3	2	4	3	5	3	3	3	3	4	4	3	4	2	3	1	1	2	2	5	3	5	3	1	2	3	3	4	2	1	1	1	5	1	4	4																		
7/8/2025 17:26:43	4	5	1	1	1	1	2	3	5	1	3	3	2	2	3	1	2	2	3	3	1	3	5	5	2	3	3	1	5	5	5	1	1	3	1	1	2	2	3	1	1	1	2	4	5																		
7/8/2025 19:48:48	5	5	2	3	5	2	3	1	4	4	3	3	2	4	4	4	1	2	4	3	1	5	3	4	4	1	1	1	4	4	4	2	3	3	2	3	3	4	2	1	2	4	4	5	4																		
7/8/2025 20:25:23	5	4	5	1	4	4	5	4	5	4	5	4	5	4	5	1	5	3	2	3	3	4	4	3	5	3		1	4	5	4	1	1	3	2	2	1	4	3	3	5	2	4	1	2																		
7/8/2025 21:30:20	2	3	3	3	3	3	5	3	3	3	4	5	5	4	4	4	4	4	4	4	1	4	3	3	4	3	3	2	1	1	1	1	3	2	2	2	1	3	2	3	3	3	5	3	3																		
7/8/2025 21:58:54	4	5	4	2	3	1	5	3	3	4	2	5	4	4	5	5	3	2	2	2	2	2	4	3	3	2	2	3	4	5	5	2	2	2	2	2	2	3	2	4	4	4	5	2	2																		
7/9/2025 6:04:43	2	2	3	1	1	1	3	1	1	1	2	3	2	3	5	5	3	3	2	3	1	2	2	2	4	2	2	1	2	1	1	1	3	3	4	1	2	1	1	1	2	1	5	2	2																		
7/9/2025 6:21:55	2	3	3	2	1	2	5	2	2	2	2	2	2	2	5	4	2	2	1	3	2	2	2	2	2	1	1	3	3	4	4	4	1	2	1	1	1	2	2	1	3	2	5	2	1																		
7/9/2025 14:21:19	4	4	2	2	3	2	3	1	2	5	2	4	3	3	5	4	5	2	3	3	1	2	3	4	4	3	2	1	3	2	3	1	1	1	1	1	4	3	1	2	5	2	4	5	4																		
7/9/2025 14:49:33	3	3	3	3	3	2	3	2	2	2	3	3	3	3	4	3	3	4	3	2	3	3	3	3	3	2	2	2	3	3	3	3	2	3	4	2	3	3	3	3	3	3	3	3	3																		
7/9/2025 15:49:27	4	4	3	4	3	2	2	3	4	2	2	2	3	3	2	1	1	3	4	1	2	3	3	4	2	2	2	1	4	2	2	3	1	2	2	3	2	2	1	1	1	3	2	3	4																		
7/10/2025 0:21:39	5	4	2	2	2	2	3	2	4	1	2	4	3	2	3	4	2	3	5	4	2	4	4	3	4	2	2	1	2	2	2	1	1	1	1	1	1	3	2	1	1	2	2	5	4																		
7/10/2025 4:14:44	3	3	1	3	2	4	3	1	2	3	4	5	4	5	5	1	3	1	2	1	1	3	4	3	3	4	4	1	4	3	4	1	2	2	2	1	3	2	3	2	4	4	5	4	3																		
7/10/2025 4:23:36	2	4	3	5	4	4	3	4	4	3	2	2	2	4	4	3	1	4	4	2	1	4	2	3	4	3	2	2	4	2	3	1	1	2	1	2	2	2	2	1	2	4	3	4	5																		
7/10/2025 4:26:12	2	3	3	2	4	1	5	1	2	1	1	1	2	3	5	2	3	3	2	1	2	2	5	5	5	2	2	1	5	3	4	1	1	1	2	1	2	3	2	1	2	2	5	3	5																		
7/10/2025 4:56:37	3	4	2	4	2	3	5	4	4	3	3	4	4	3	5	4	3	4	4	2	2	2	3	2	5	4	4	3	3	2	3	4	2	3	3	2	3	2	2	5	3	3	5	5	4																		
7/10/2025 7:07:41	5	3	2	3	4	2	3	3	2	1	2	1	3	4	1	3	1	1	1	3	3	3	2	2	1	2	1	1	3		3	2	2	3	3	2	3	1	3	2	3	4		2	3																		
7/10/2025 13:41:05	5	5	2	2	2	2	3	2	2	3	3	3	3	2	3	2	3	3	5	3	2	4	3	3	3	2	3	2	2	2	2	2	2	2	2	2	2	3	2	2	3	2	3	3	2																		
7/10/2025 15:04:05	5	5	1	1	1	2	3	1	2	4	5	4	2	1	4	1	2	2	5	2	1	5	2	3	3	5	3	1	2	1	2	1	1	2	1	1	4	1	1	2	1	1	2	5	3																		
7/10/2025 15:04:48	4	5	1	4	2	3	1	1	1	2	1	2	2	5	4	2	3	4	4	5	1	5	2	3	3	4	4	1	4	3	3	1	1	1	1	2	1	1	1	2	2	3	1	5	5																		
7/10/2025 15:06:18	3	4	3	3	4	2	4	1	2	2	3	3	4	4	4	3	1	1	3	2	2	4	3	4	4	1	1	2	3	3	3	1	2	2	2	2	2	2	1	1	2	2	5	4	3																		
7/10/2025 15:12:23	3	4	3	1	1	1	1	1	1	4	2	5	3	2	4	2	2	2	3	5	1	2	3	2	2	1	1	1	4	1	2	1	1	2	1	2	3	2	2	1	2	1	3	3	5																		
7/10/2025 15:12:48	3	4	1	2	1	4	3	1	2	1	2	4	2	1	4	5	5	3	5	2	1	3	3	3	3	3	5	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	4	5	3																		
7/10/2025 15:13:12	4	4	4	2	2	4	2	2	3	2	2	2	2	2	2	2	4	3	5	5	3	3	2	2	2	3	4	1	2	4	4	1	3	3	2	3	5	4	1	3	3	2	2	4	3																		
7/10/2025 15:33:42	4	4	2	3	3	3	3	3	3	3	4	4	5	4	5	2	4	3	3	3	3	4	4	3	5	4	3	2	3	3	4	2	2	3	3	2	2	2	2	3	2	3	5	3	5																		
7/10/2025 16:04:21	5	5	2	4	3	3	4	1	3	3	3	4	4	3	3	3	3	5	5	4	3	4	4	3	2	4	3	2	2	3	3	2	2	2	3	2	3	2	2	5	2	4	5	4	4																		
7/10/2025 16:34:58	5	5	2	1	1	1	3	1	3	4		3	3	3	3	2	2	2	4	3	1	3	5	5	3	3	2	1	1		1	1	1	1	1	1	2	2	2	1	2	1	4	4	4																		
7/10/2025 16:37:10	5	5	1	2	2	2	3	1	2	3	3	2	2	3	5	2	2	3	4	2	2	4	2	2	3	3	4	1	4	3	2	1	1	1	1	2	3	2	2	1	2	2	3	4	4																		
7/10/2025 16:57:43	3	1	1	1	1	1	5	1	1	5	5	3	5	1	4	1	1	1	1	1	1	1	3	4	5	1	1	1	1	4	4	1	1	1	1	1	1	1	1	1	1	1	4	1	2																		
7/10/2025 18:38:22	4	4	3	1	1	1	2	1	2	4	2	2	3	4	5	5	3	2	3	5	2	4	2	2	3	1	2	3	2	4	3	1	2	1	2	2	4	4	3	5	3	2	4	4	5																		
7/10/2025 19:34:09	2	3	4	4	4	2	3	2	2	2	2	1	2	5	2	3	3	1	2	2	1	5	4	4	1	2	1	1	5	4	4	1	1	1	2	1	3	1	2	1	2	3	3	2	2																		
7/10/2025 20:20:28																																																															
7/10/2025 21:19:29	2	3	1	4	4	1	3	1	4	2	4	3	4	3	3	1	1	2	2	2	1	3	5	4	3	2	1	1	4	3	3	1	1	1	1	1	2	1	1	1	1	2	3	3	5																		
7/10/2025 21:26:29	4	4	2	2	2	3	2	1	3	3	3	4	2	3	4	2	3	3	4	4	2	4	5	5	2	2	3	1	5	3	4	1	3	4	2	2	2	3	1	1	3	3	3	5	3																		
7/10/2025 22:50:08	5	5	2	1	1	1	4	1	3	3	4	2	4	2	5	4	1	3	3	4	1	4	4	4	5	2	1	1	1	4	4	1	3	3	2	1	2	2	3	1	1	1	4	5	3																		
7/11/2025 3:08:53	5	5	1	3	3	3	3	2	3	4	4	2	2	2	3	1	1	1	4	1	1	4	3	2	4	4	5	1	3	4	4	1	1	1	1	1	3	1	1	2	1	2	2	5	4																		
7/11/2025 4:10:20	3	3	2	3	2	3	4	4	4	3	4	4	5	5	5	4	3	3	4	3	3	5	3	3	5	2	2	2	4	3	3	1	3	3	3	1	3	2	3	1	2	4	5	3	3																		
